,version_name,post_release_bugs,pre_release_bugs,dde,critical_post_release_bugs,minor_post_release_bugs,fix_time
0,4.5.7,1.0,0.0,0.0,0.0,0.0,434.28603009259257
1,5.1,17.0,7.0,0.2916666666666667,0.0,1.0,76.54260008169933
2,5.1.1,6.0,0.0,0.0,0.0,0.0,18.665239197530862
3,5.1.2,3.0,0.0,0.0,0.0,0.0,103.19783564814814
4,5.2,36.0,2.0,0.05263157894736842,0.0,3.0,63.79601755401235
5,5.3,12.0,3.0,0.2,1.0,1.0,68.4849537037037
6,5.4,15.0,11.0,0.4230769230769231,1.0,0.0,61.14680324074074
7,5.5,6.0,2.0,0.25,0.0,1.0,16.34960262345679
8,5.6,34.0,1.0,0.02857142857142857,0.0,2.0,54.13259531590414
9,5.6.1,9.0,0.0,0.0,0.0,1.0,92.88757458847736
10,5.6.2,2.0,0.0,0.0,0.0,0.0,8.016255787037037
11,5.6.3,6.0,0.0,0.0,0.0,0.0,87.7930362654321
12,5.6.4,2.0,0.0,0.0,0.0,0.0,2.777662037037037
13,5.6.5,2.0,0.0,0.0,0.0,0.0,52.31880787037037
14,5.6.6,3.0,0.0,0.0,0.0,1.0,56.41864197530864
15,5.6.7,1.0,0.0,0.0,0.0,0.0,6.91238425925926
16,6.0,24.0,2.0,0.07692307692307693,1.0,1.0,55.72517409336419
17,6.1,11.0,2.0,0.15384615384615385,0.0,0.0,54.42999684343434
18,6.1.1,1.0,0.0,0.0,0.0,0.0,8.844097222222222
19,6.2,20.0,9.0,0.3103448275862069,0.0,0.0,26.128933449074076
20,6.3,19.0,3.0,0.13636363636363635,0.0,1.0,32.110052997076025
21,6.3.1,5.0,0.0,0.0,0.0,0.0,37.80141435185185
22,6.3.2,2.0,0.0,0.0,0.0,0.0,6.241244212962963
23,6.4,20.0,8.0,0.2857142857142857,1.0,1.0,44.83251851851851
24,6.5,18.0,2.0,0.1,0.0,1.0,42.842341820987656
25,6.6,7.0,13.0,0.65,2.0,1.0,47.537256944444444
26,6.7,51.0,1.0,0.019230769230769232,3.0,7.0,35.721559259259266
27,6.7.1,10.0,0.0,0.0,0.0,1.0,84.07164351851853
28,6.7.2,1.0,0.0,0.0,0.0,0.0,7.9599421296296295
29,6.7.3,4.0,1.0,0.2,1.0,0.0,15.624571759259258
30,6.7.4,2.0,0.0,0.0,0.0,0.0,6.91238425925926
31,6.7.5,2.0,0.0,0.0,0.0,0.0,5.169635416666667
32,6.7.6,1.0,0.0,0.0,0.0,0.0,2.158900462962963
33,6.7.7,2.0,0.0,0.0,0.0,0.0,6.072442129629629
34,7.0,16.0,6.0,0.2727272727272727,0.0,2.0,15.415767505787036
35,7.1,19.0,3.0,0.13636363636363635,0.0,2.0,18.421773269980505
36,7.2,18.0,2.0,0.1,0.0,1.0,25.70864197530864
37,7.3,22.0,1.0,0.043478260869565216,0.0,1.0,14.649190340909092
38,7.4,18.0,1.0,0.05263157894736842,1.0,1.0,20.733182870370374
39,7.5,5.0,1.0,0.16666666666666666,0.0,1.0,5.807027777777778
40,7.6,10.0,0.0,0.0,1.0,3.0,67.39060570987654
41,7.7,16.0,1.0,0.058823529411764705,0.0,3.0,29.20075694444444
42,7.8,7.0,3.0,0.3,1.0,2.0,23.364011243386244
43,7.9,18.0,1.0,0.05263157894736842,2.0,1.0,55.36877097800926
44,7.9.1,23.0,0.0,0.0,0.0,9.0,40.31466550925927
45,7.9.2,0.0,0.0,1.0,0.0,0.0,0.0
46,7.9.3,0.0,0.0,1.0,0.0,0.0,0.0
47,7.9.4,1.0,0.0,0.0,0.0,0.0,2.7495949074074075
48,8.0,6.0,2.0,0.25,0.0,0.0,14.08543209876543
49,8.1,6.0,1.0,0.14285714285714285,0.0,2.0,76.41735648148149
50,8.2,7.0,1.0,0.125,1.0,0.0,39.28542162698413
51,8.3,2.0,0.0,0.0,0.0,1.0,2.7497453703703703
52,8.3.1,2.0,0.0,0.0,0.0,1.0,22.038171296296298
53,8.4,9.0,3.0,0.25,4.0,1.0,2.911863425925926
54,8.4.1,9.0,0.0,0.0,1.0,2.0,12.50820601851852
55,8.4.2,1.0,0.0,0.0,1.0,0.0,2.024328703703704
